mse_penalty,tol,breakpoint_reg,t_squared_objective,lower_bound,upper_bound
10.333333333333332,1e-06,1e-12,False,0.0484983278589412,
10.333333333333332,1e-06,1e-08,True,0.04886084679211901,1.0468378031922554
10.333333333333332,1e-06,1e-08,False,0.04849837791106992,
10.333333333333332,1e-09,0.0,True,0.048860513877158666,1.0468383378784678
10.333333333333332,1e-09,0.0,False,0.048497738089036915,
10.333333333333332,1e-09,1e-12,True,0.04886051986939737,
10.333333333333332,1e-09,1e-12,False,0.04849773839224201,1.1445906456323858
10.333333333333332,1e-09,1e-08,True,0.04886052227035487,
10.333333333333332,1e-09,1e-08,False,0.04849774680215352,
10.666666666666666,1e-06,0.0,True,0.0488603655488264,4.923659057933471
10.666666666666666,1e-06,0.0,False,0.0485237952914286,
10.666666666666666,1e-06,1e-12,True,0.04886301519967947,11.473194979721562
10.666666666666666,1e-06,1e-12,False,0.04852379612605993,1.116635684972146
10.666666666666666,1e-06,1e-08,True,0.04885870962344733,
10.666666666666666,1e-06,1e-08,False,0.048523866695143636,1.1166262061393843
10.666666666666666,1e-09,0.0,True,0.048860524709063664,
10.666666666666666,1e-09,0.0,False,0.0485230303097267,
10.666666666666666,1e-09,1e-12,True,0.048860518062686764,
10.666666666666666,1e-09,1e-12,False,0.048523032144502376,
10.666666666666666,1e-09,1e-08,True,0.04886052961002209,
10.666666666666666,1e-09,1e-08,False,0.04852303873408136,
11.0,1e-06,0.0,True,0.04886189924638955,6.486990743177221
11.0,1e-06,0.0,False,0.04854607565512197,
11.0,1e-06,1e-12,True,0.04886339736003912,
11.0,1e-06,1e-12,False,0.048546075647326326,
11.0,1e-06,1e-08,True,0.048864017335210355,
11.0,1e-06,1e-08,False,0.04854608718947959,
11.0,1e-09,0.0,True,0.04886052679293597,
11.0,1e-09,0.0,False,0.04854623296223797,
11.0,1e-09,1e-12,True,0.048860519407020034,
11.0,1e-09,1e-12,False,0.048546228815993915,
11.0,1e-09,1e-08,True,0.04886053590165122,
11.0,1e-09,1e-08,False,0.04854624188838764,
11.333333333333332,1e-06,0.0,True,0.04885808300813164,2.6656575318798486
11.333333333333332,1e-06,0.0,False,0.048567812481373034,
11.333333333333332,1e-06,1e-12,True,0.04886039550103807,
11.333333333333332,1e-06,1e-12,False,0.04856763167598356,
